Name,ID
K07378.01,10843431
K00117.01,10875245
K00117.02,10875245
K00117.03,10875245
K00085.01,5866724
K00085.02,5866724
K00938.01,9415172
K00938.02,9415172
K00253.01,11752906
K00116.01,8395660
K00116.02,8395660
K00116.03,8395660
K02220.01,6871071
K02220.02,6871071
K02220.03,6871071
K00564.01,6786037
K00564.02,6786037
K00941.01,9480189
K00941.02,9480189
K00581.01,8822216
K01839.01,5856571
K00993.01,1718189
K00564.01,6786037
K00564.02,6786037
K00564.01,6786037
K00564.02,6786037
K00474.01,10460984
K00474.02,10460984
K00474.03,10460984
K00070.01,6850504
K00070.02,6850504
K00070.03,6850504
K00070.04,6850504
K00339.01,10587105
K00339.02,10587105
K00408.02,5351250
K00408.01,5351250
K00408.03,5351250
K00301.01,3642289
K00723.01,10002866
K00723.02,10002866
K00834.01,5436502
K00834.02,5436502
K00834.03,5436502
K00834.04,5436502
K00567.01,7445445
K00567.02,7445445
K00929.01,9141746
K00250.01,9757613
K00250.02,9757613
K00250.03,9757613
K01052.01,5956342
K01052.02,5956342
K01052.03,5956342
K00567.01,7445445
K00567.02,7445445
K00521.01,8162789
K00605.01,4832837
K00148.01,5735762
K00148.02,5735762
K00939.01,9466668
K00939.02,9466668
K00939.03,9466668
K00341.01,10878263
K02250.01,5942808
K00168.01,11512246
K00168.02,11512246
K00370.01,8494142
K00232.01,4833421
K00232.02,4833421
K00232.03,4833421
K00232.04,4833421
K00500.01,4852528
K00500.02,4852528
K00500.03,4852528
K00500.04,4852528
K00246.01,11295426
K01163.01,10468940
K00756.01,10872983
K00756.02,10872983
K00938.01,9415172
K00938.02,9415172
K00159.01,8972058
K00111.01,6678383
K00111.02,6678383
K00157.01,6541920
K00157.02,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00262.01,11807274
K00168.01,11512246
K00168.02,11512246
K00707.02,9458613
K00707.01,9458613
K00707.03,9458613
K00707.04,9458613
K00864.01,6849310
K00864.02,6849310
K00238.01,7219825
K00238.02,7219825
K00416.01,6508221
K00416.02,6508221
K00222.01,4249725
K00941.01,9480189
K00941.02,9480189
K00117.01,10875245
K00117.02,10875245
K00117.03,10875245
K00457.01,7440748
K00250.01,9757613
K00250.02,9757613
K00250.03,9757613
K00313.01,7419318
K00157.01,6541920
K00157.02,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00157.01,6541920
K00157.02,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00314.01,7603200
K00314.02,7603200
K00459.01,7977197
K00416.01,6508221
K00416.02,6508221
K00331.01,10285631
K00262.01,11807274
K00295.01,11547513
K00082.01,10187017
K00082.02,10187017
K00082.03,10187017
K00082.04,10187017
K00082.05,10187017
K00935.01,9347899
K00935.02,9347899
K00935.03,9347899
K00939.01,9466668
K00939.02,9466668
K00939.03,9466668
K00123.01,5094751
K00085.01,5866724
K00085.02,5866724
K01127.01,6359320
K01127.02,6359320
K00282.01,5088536
K00282.02,5088536
K00246.01,11295426
K00241.01,11288051
K00241.02,11288051
K00892.01,7678434
K00343.01,10982872
K00343.02,10982872
K00159.01,8972058
K00317.01,8121310
K00564.01,6786037
K00564.02,6786037
K00474.01,10460984
K00474.02,10460984
K00474.03,10460984
K00157.01,6541920
K00157.02,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00150.01,7626506
K00474.01,10460984
K00474.02,10460984
K00474.03,10460984
K01102.01,3231341
K01102.02,3231341
K01102.03,3231341
K00510.01,6422155
K00510.02,6422155
K00510.03,6422155
K00117.01,10875245
K00117.02,10875245
K00117.03,10875245
K00601.01,10973664
K00601.02,10973664
K00369.01,7175184
K00707.01,9458613
K00707.02,9458613
K00707.03,9458613
K00707.04,9458613
K00569.01,8008206
K00301.01,3642289
K01001.01,1871056
K00351.03,11442793
K00351.02,11442793
K00350.01,11395587
K00351.04,11442793
K00351.05,11442793
K00351.06,11442793
K00153.01,12252424
K00416.01,6508221
K00416.02,6508221
K00343.01,10982872
K00343.02,10982872
K00250.01,9757613
K00250.02,9757613
K00250.03,9757613
K00331.01,10285631
K00041.01,6521045
K00041.02,6521045
K00041.01,6521045
K00041.02,6521045
K00457.01,7440748
K00148.01,5735762
K00148.02,5735762
K00416.01,6508221
K00416.02,6508221
K01052.01,5956342
K01052.02,5956342
K01052.03,5956342
K00435.01,11709124
K00435.03,11709124
K00435.04,11709124
K00435.05,11709124
K00567.01,7445445
K00567.02,7445445
K00369.01,7175184
K00869.01,6948054
K00869.02,6948054
K00869.03,6948054
K00115.01,9579641
K00115.02,9579641
K00271.01,9451706
K00271.02,9451706
K00869.01,6948054
K00869.02,6948054
K00869.03,6948054
K00474.01,10460984
K00474.02,10460984
K00474.03,10460984
K00153.01,12252424
K00435.04,11709124
K00435.03,11709124
K00435.01,11709124
K00433.02,10937029
K00435.05,11709124
K00665.01,6685609
K00665.02,6685609
K01163.01,10468940
K00117.01,10875245
K00117.02,10875245
K00117.03,10875245
K00255.01,7021681
K00546.01,12058931
K01102.01,3231341
K01102.02,3231341
K01102.03,3231341
K00416.01,6508221
K00416.02,6508221
K00152.01,8394721
K00152.02,8394721
K00152.03,8394721
K01805.01,4644952
K01805.02,4644952
K00497.01,4757437
K00431.01,10843590
K00250.01,9757613
K00250.02,9757613
K00250.03,9757613
K00289.01,10386922
K00244.01,4349452
K00116.01,8395660
K00116.02,8395660
K00116.03,8395660
K00289.01,10386922
K01310.01,10964440
K01363.01,6936909
K00898.01,7870390
K00898.02,7870390
K01557.01,5371776
K01557.02,5371776
K01557.03,5371776
K01307.01,10973814
K01278.02,8609450
K01278.01,8609450
K01278.03,8609450
K00282.01,5088536
K00282.02,5088536
K01557.01,5371776
K01557.02,5371776
K01557.03,5371776
K01932.01,5202905
K01015.01,8158127
K01015.02,8158127
K00094.01,6462863
K00094.02,6462863
K00094.03,6462863
K00111.01,6678383
K00111.02,6678383
K00700.02,8962094
K00700.01,8962094
K00700.03,8962094
K00111.01,6678383
K00111.02,6678383
K00232.03,4833421
K00232.02,4833421
K00232.01,4833421
K00232.04,4833421
K00152.01,8394721
K00152.02,8394721
K00152.03,8394721
K00152.02,8394721
K00152.01,8394721
K00152.03,8394721
K00508.01,6266741
K00605.01,4832837
K00157.01,6541920
K00157.02,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00238.01,7219825
K00238.02,7219825
K01163.01,10468940
K00430.01,10717241
K00191.01,5972334
K00191.02,5972334
K00331.01,10285631
K01070.01,8240904
K00756.01,10872983
K00756.02,10872983
K00117.02,10875245
K00117.01,10875245
K00117.03,10875245
K01060.01,5880320
K01060.02,5880320
K01060.03,5880320
K00547.01,12116489
K01163.01,10468940
K00157.01,6541920
K00157.02,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00123.01,5094751
K00749.01,10601284
K00749.02,10601284
K00168.01,11512246
K00168.02,11512246
K01557.01,5371776
K01557.02,5371776
K01557.03,5371776
K00070.01,6850504
K00070.02,6850504
K00070.03,6850504
K00070.04,6850504
K01102.01,3231341
K01102.02,3231341
K01102.03,3231341
K00864.01,6849310
K00864.02,6849310
K00289.01,10386922
K00331.01,10285631
K01779.01,9909735
K00157.01,6541920
K00157.02,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00085.01,5866724
K00085.02,5866724
K00157.01,6541920
K00157.02,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00150.01,7626506
K00301.01,3642289
K00271.01,9451706
K00271.02,9451706
K00222.01,4249725
K00734.01,10272442
K00459.01,7977197
K00939.01,9466668
K00939.02,9466668
K00939.03,9466668
K01839.01,5856571
K00253.01,11752906
K00730.02,10227020
K00730.01,10227020
K00730.03,10227020
K00250.01,9757613
K00250.02,9757613
K00250.03,9757613
K00157.02,6541920
K00157.01,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00416.01,6508221
K00416.02,6508221
K01052.01,5956342
K01052.02,5956342
K01052.03,5956342
K00431.01,10843590
K00431.01,10843590
K00510.01,6422155
K00510.02,6422155
K00510.03,6422155
K00070.01,6850504
K00070.02,6850504
K00070.03,6850504
K00070.04,6850504
K00070.01,6850504
K00070.02,6850504
K00070.03,6850504
K00070.04,6850504
K00427.01,10189546
K00427.02,10189546
K00435.01,11709124
K00433.02,10937029
K00435.03,11709124
K00435.04,11709124
K00435.05,11709124
K00253.01,11752906
K00307.01,6289257
K00123.01,5094751
K00115.01,9579641
K00115.02,9579641
K01805.01,4644952
K01805.02,4644952
K00148.01,5735762
K00148.02,5735762
K00250.01,9757613
K00250.02,9757613
K00250.03,9757613
K00250.02,9757613
K00250.01,9757613
K00250.03,9757613
K00238.01,7219825
K00238.02,7219825
K00291.01,10933561
K00116.01,8395660
K00116.02,8395660
K00116.03,8395660
K00222.01,4249725
K00581.01,8822216
K00041.01,6521045
K00041.02,6521045
K00435.01,11709124
K00433.02,10937029
K00435.03,11709124
K00435.04,11709124
K00435.05,11709124
K00780.01,11918099
K01203.01,3962243
K01203.02,3962243
K00070.01,6850504
K00070.02,6850504
K00070.03,6850504
K00070.04,6850504
K01240.01,6690082
K00671.01,7040629
K00671.02,7040629
K00671.03,7040629
K00534.01,10554999
K00232.01,4833421
K00232.02,4833421
K00232.03,4833421
K00232.04,4833421
K00115.01,9579641
K00115.02,9579641
K00150.01,7626506
K00238.01,7219825
K00238.02,7219825
K00408.01,5351250
K00408.02,5351250
K00408.03,5351250
K00534.01,10554999
K00341.01,10878263
K01102.01,3231341
K01102.02,3231341
K01102.03,3231341
K00312.01,7050989
K00123.01,5094751
K02674.01,8022489
K02674.02,8022489
K00547.01,12116489
K01240.01,6690082
K00152.02,8394721
K00152.01,8394721
K00152.03,8394721
K00435.01,11709124
K00435.03,11709124
K00435.04,11709124
K00435.05,11709124
K00082.01,10187017
K00082.02,10187017
K00082.03,10187017
K00082.04,10187017
K00082.05,10187017
K00168.01,11512246
K00168.02,11512246
K00509.01,6381846
K00369.01,7175184
K00497.01,4757437
K00152.02,8394721
K00152.01,8394721
K00152.03,8394721
K00150.01,7626506
K00070.01,6850504
K00070.02,6850504
K00070.03,6850504
K00070.04,6850504
K00116.01,8395660
K00116.02,8395660
K00116.03,8395660
K00250.01,9757613
K00250.02,9757613
K00250.03,9757613
K00238.01,7219825
K00238.02,7219825
K01805.01,4644952
K01805.02,4644952
K00250.01,9757613
K00250.02,9757613
K00250.03,9757613
K00665.01,6685609
K00665.02,6685609
K00581.01,8822216
K00481.01,11192998
K00481.02,11192998
K00869.01,6948054
K00869.02,6948054
K00869.03,6948054
K00386.01,3656121
K00718.01,9884104
K00718.02,9884104
K00238.01,7219825
K00238.02,7219825
K02715.01,9837661
K02715.02,9837661
K00332.01,10290666
K00115.01,9579641
K00115.02,9579641
K00282.01,5088536
K00282.02,5088536
K00880.01,7366258
K00880.02,7366258
K00880.03,7366258
K00939.01,9466668
K00939.02,9466668
K00939.03,9466668
K01083.01,10157458
K00255.01,7021681
K00880.01,7366258
K00880.02,7366258
K00880.03,7366258
K00431.01,10843590
K00241.01,11288051
K00241.02,11288051
K00116.01,8395660
K00116.02,8395660
K00116.03,8395660
K00291.01,10933561
K00627.01,4563268
K00232.02,4833421
K00232.01,4833421
K00232.03,4833421
K00232.04,4833421
K00370.01,8494142
K00343.01,10982872
K00343.02,10982872
K00274.01,8077137
K00551.01,4270253
K00295.01,11547513
K00313.01,7419318
K00250.02,9757613
K00250.01,9757613
K00250.03,9757613
K00152.01,8394721
K00152.02,8394721
K00152.03,8394721
K00282.01,5088536
K00282.02,5088536
K00159.01,8972058
K00597.01,10600261
K00597.02,10600261
K00157.01,6541920
K00157.02,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00168.01,11512246
K00168.02,11512246
K00730.01,10227020
K00730.02,10227020
K00730.03,10227020
K00528.01,9941859
K00528.02,9941859
K00070.01,6850504
K00070.02,6850504
K00070.03,6850504
K00070.04,6850504
K02715.01,9837661
K02715.02,9837661
K00282.01,5088536
K00282.02,5088536
K00509.01,6381846
K00070.01,6850504
K00070.02,6850504
K00070.03,6850504
K00070.04,6850504
K01070.01,8240904
K01307.01,10973814
K00671.02,7040629
K00671.01,7040629
K00671.03,7040629
K01590.01,5542466
K01590.02,5542466
K00253.01,11752906
K00435.01,11709124
K00435.03,11709124
K00435.04,11709124
K00435.05,11709124
K00153.01,12252424
K01557.01,5371776
K01557.02,5371776
K01557.03,5371776
K01436.01,11389771
K01436.02,11389771
K00082.01,10187017
K00082.02,10187017
K00082.03,10187017
K00082.04,10187017
K00082.05,10187017
K00301.01,3642289
K00238.01,7219825
K00238.02,7219825
K00238.01,7219825
K00238.02,7219825
K01832.01,11709244
K01832.02,11709244
K01832.01,11709244
K01832.02,11709244
K00730.02,10227020
K00730.01,10227020
K00730.03,10227020
K01203.01,3962243
K01203.02,3962243
K00248.01,5364071
K00248.02,5364071
K00248.03,5364071
K00253.01,11752906
K00238.01,7219825
K00238.02,7219825
K00573.01,8344004
K00427.01,10189546
K00427.02,10189546
K01082.01,10141900
K01082.02,10141900
K01082.03,10141900
K00369.01,7175184
K00159.01,8972058
K00577.01,8558011
K00070.02,6850504
K00070.01,6850504
K00070.03,6850504
K00070.04,6850504
K00408.01,5351250
K00408.02,5351250
K00408.03,5351250
K00872.01,7109675
K00481.01,11192998
K00481.02,11192998
K00457.01,7440748
K02694.01,9475552
K00834.01,5436502
K00834.02,5436502
K00834.03,5436502
K00834.04,5436502
K00220.01,7132798
K00581.01,8822216
K06132.01,5629353
K06132.02,5629353
K00116.01,8395660
K00116.02,8395660
K00116.03,8395660
K00339.01,10587105
K00339.02,10587105
K00581.01,8822216
K00408.01,5351250
K00408.02,5351250
K00408.03,5351250
K01102.01,3231341
K01102.02,3231341
K01102.03,3231341
K00159.01,8972058
K00730.01,10227020
K00730.02,10227020
K00730.03,10227020
K00692.01,8557374
K00094.01,6462863
K00094.02,6462863
K00094.03,6462863
K00564.01,6786037
K00564.02,6786037
K00232.03,4833421
K00232.02,4833421
K00232.01,4833421
K00232.04,4833421
K01163.01,10468940
K00148.01,5735762
K00148.02,5735762
K00331.01,10285631
K00085.01,5866724
K00085.02,5866724
K00232.01,4833421
K00232.02,4833421
K00232.03,4833421
K00232.04,4833421
K00430.01,10717241
K01015.01,8158127
K01015.02,8158127
K00730.02,10227020
K00730.01,10227020
K00730.03,10227020
